005 l 1 b 1;file:Augezdecki-02a_PT08_406.djvu?djvuopts=&page=1&highlight=38,50,29,74;Augezdecki-02a_PT08_406 l 1 b 1; ※
005 l 1 b 2;file:Augezdecki-02a_PT08_406.djvu?djvuopts=&page=1&highlight=113,50,21,74;Augezdecki-02a_PT08_406 l 1 b 2; ※
005 l 1 b 3;file:Augezdecki-02a_PT08_406.djvu?djvuopts=&page=1&highlight=178,50,29,74;Augezdecki-02a_PT08_406 l 1 b 3; ※
005 l 1 b 4;file:Augezdecki-02a_PT08_406.djvu?djvuopts=&page=1&highlight=265,50,18,74;Augezdecki-02a_PT08_406 l 1 b 4; ※
005 l 1 b 5;file:Augezdecki-02a_PT08_406.djvu?djvuopts=&page=1&highlight=329,50,22,74;Augezdecki-02a_PT08_406 l 1 b 5; ※
005 l 1 b 6;file:Augezdecki-02a_PT08_406.djvu?djvuopts=&page=1&highlight=394,50,19,74;Augezdecki-02a_PT08_406 l 1 b 6; ※
005 l 1 b 7;file:Augezdecki-02a_PT08_406.djvu?djvuopts=&page=1&highlight=456,50,9,74;Augezdecki-02a_PT08_406 l 1 b 7; ※
005 l 1 b 8;file:Augezdecki-02a_PT08_406.djvu?djvuopts=&page=1&highlight=468,50,16,74;Augezdecki-02a_PT08_406 l 1 b 8; ※
005 l 1 b 9;file:Augezdecki-02a_PT08_406.djvu?djvuopts=&page=1&highlight=523,50,33,74;Augezdecki-02a_PT08_406 l 1 b 9; ※
005 l 1 b 10;file:Augezdecki-02a_PT08_406.djvu?djvuopts=&page=1&highlight=601,50,20,74;Augezdecki-02a_PT08_406 l 1 b 10; ※
005 l 1 b 11;file:Augezdecki-02a_PT08_406.djvu?djvuopts=&page=1&highlight=664,50,20,74;Augezdecki-02a_PT08_406 l 1 b 11; ※
005 l 1 b 12;file:Augezdecki-02a_PT08_406.djvu?djvuopts=&page=1&highlight=735,50,34,74;Augezdecki-02a_PT08_406 l 1 b 12; ※
005 l 1 b 13;file:Augezdecki-02a_PT08_406.djvu?djvuopts=&page=1&highlight=823,50,26,74;Augezdecki-02a_PT08_406 l 1 b 13; ※
005 l 1 b 14;file:Augezdecki-02a_PT08_406.djvu?djvuopts=&page=1&highlight=897,50,27,74;Augezdecki-02a_PT08_406 l 1 b 14; ※
005 l 1 b 15;file:Augezdecki-02a_PT08_406.djvu?djvuopts=&page=1&highlight=975,50,29,74;Augezdecki-02a_PT08_406 l 1 b 15; ※
005 l 1 b 16;file:Augezdecki-02a_PT08_406.djvu?djvuopts=&page=1&highlight=1054,50,16,74;Augezdecki-02a_PT08_406 l 1 b 16; ※
