075 l 1 b 1;file:Wirzbięta-02u_PT11_570.djvu?djvuopts=&page=1&highlight=49,44,92,132;Wirzbięta-02u_PT11_570 l 1 b 1; ※
075 l 1 b 2;file:Wirzbięta-02u_PT11_570.djvu?djvuopts=&page=1&highlight=212,44,89,132;Wirzbięta-02u_PT11_570 l 1 b 2; ※
075 l 1 b 3;file:Wirzbięta-02u_PT11_570.djvu?djvuopts=&page=1&highlight=385,44,54,132;Wirzbięta-02u_PT11_570 l 1 b 3; ※
075 l 1 b 4;file:Wirzbięta-02u_PT11_570.djvu?djvuopts=&page=1&highlight=473,44,37,132;Wirzbięta-02u_PT11_570 l 1 b 4; ※
075 l 1 b 5;file:Wirzbięta-02u_PT11_570.djvu?djvuopts=&page=1&highlight=546,44,84,132;Wirzbięta-02u_PT11_570 l 1 b 5; ※
075 l 1 b 6;file:Wirzbięta-02u_PT11_570.djvu?djvuopts=&page=1&highlight=669,44,55,132;Wirzbięta-02u_PT11_570 l 1 b 6; ※
075 l 1 b 7;file:Wirzbięta-02u_PT11_570.djvu?djvuopts=&page=1&highlight=759,44,58,132;Wirzbięta-02u_PT11_570 l 1 b 7; ※
075 l 1 b 8;file:Wirzbięta-02u_PT11_570.djvu?djvuopts=&page=1&highlight=855,44,35,132;Wirzbięta-02u_PT11_570 l 1 b 8; ※
075 l 1 b 9;file:Wirzbięta-02u_PT11_570.djvu?djvuopts=&page=1&highlight=930,44,60,132;Wirzbięta-02u_PT11_570 l 1 b 9; ※
075 l 1 b 10;file:Wirzbięta-02u_PT11_570.djvu?djvuopts=&page=1&highlight=1024,44,57,132;Wirzbięta-02u_PT11_570 l 1 b 10; ※
075 l 1 b 11;file:Wirzbięta-02u_PT11_570.djvu?djvuopts=&page=1&highlight=1109,44,75,132;Wirzbięta-02u_PT11_570 l 1 b 11; ※
075 l 1 b 12;file:Wirzbięta-02u_PT11_570.djvu?djvuopts=&page=1&highlight=1249,44,28,132;Wirzbięta-02u_PT11_570 l 1 b 12; ※
