number,printer,font,fascicule,plate
01,Augezdecki,01,08,402
02,Augezdecki,01a,08,403
03,Augezdecki,01b,08,404
04,Augezdecki,02,08,405
05,Augezdecki,02a,08,406
06,Augezdecki,03,08,407
07,Augezdecki,05,08,408
08,Augezdecki,06,08,408
09,Augezdecki,07,08,409
10,Augezdecki,08,08,410
11,Augezdecki,09,08,408
12,Augezdecki,10,08,408
13,Augezdecki,11,08,408
14,Augezdecki,12,08,408
15,Augezdecki,13,08,411
16,Augezdecki,14,08,410
17,Augezdecki,15,08,411
18,Augezdecki,16,08,413
19,Augezdecki,17,08,411
20,Haller,01,04,164
21,Haller,02,04,165
22,Haller,03,04,166
23,Haller,04,04,167
24,Haller,05,04,168
25,Haller,06,04,169
26,Haller,07,04,170
27,Haller,08,04,171
28,Haller,09,04,172
29,Haller,10,04,173
30,Haller,11,04,174
31,Haller,12,04,175
32,Haller,13,04,172
33,Hochfeder,02,01,020
34,Hochfeder,03,01,021
35,Hochfeder,04,01,022
36,Hochfeder,05,01,023
37,Hochfeder,06,01,024
38,Hochfeder,07,01,024
39,Hochfeder,09,01,027
40,Hochfeder,10,01,028
41,Hochfeder,11,01,028
42,Ungler1,01,03,112
43,Ungler1,02,03,113
44,Ungler1,03,03,114
45,Ungler1,04,03,115
46,Ungler1,05,03,116
47,Ungler1,06,03,117
48,Ungler1,07,03,118
49,Ungler1,08,03,120
50,Ungler1,09,03,120
51,Ungler1,10,03,119
52,Ungler2,01,05,239
53,Ungler2,02,05,240
54,Ungler2,03,05,241
55,Ungler2,04,05,242
56,Ungler2,05,05,243
57,Ungler2,06,05,241
58,Ungler2,09,05,244
59,Ungler2,10,05,245
60,Ungler2,11,05,245
61,Ungler2,12,05,243
62,Ungler2,13,05,243
63,Ungler2,14,07,357
64,Ungler2,15,07,358
65,Ungler2,16,07,359
66,Ungler2,17,07,357
67,Ungler2,18,07,360
68,Ungler2,19,07,360
69,Ungler2,20,07,361
70,Ungler2,21,07,362
71,Ungler2,22,07,362
72,Wirzbięta,01,09,469
73,Wirzbięta,01u,11,570
74,Wirzbięta,02,09,469
75,Wirzbięta,02u,11,570
76,Wirzbięta,03,09,469
77,Wirzbięta,03u,11,570
78,Wirzbięta,03uu,11,570
79,Wirzbięta,04,09,469
80,Wirzbięta,04u,11,570
81,Wirzbięta,05,09,469
82,Wirzbięta,05u,11,570
83,Wirzbięta,09,11,562
84,Wirzbięta,10+8,11,563
85,Wirzbięta,11+11a,11,564
86,Wirzbięta,12,11,564
87,Wirzbięta,13,11,565
88,Wirzbięta,14,11,565
89,Wirzbięta,15,11,566
